epoch: 1, lr: 2.60e-05, steps: 2854, optimizer: Adam - train loss: 6.94e-01 - valid loss: 6.49e-01, valid ACC: 5.60, valid Utility_Retention: 0.971939742565155
epoch: 2, lr: 5.21e-05, steps: 5708, optimizer: Adam - train loss: 6.68e-01 - valid loss: 6.49e-01, valid ACC: 5.80, valid Utility_Retention: 0.9819559454917908
epoch: 3, lr: 7.82e-05, steps: 8562, optimizer: Adam - train loss: 6.63e-01 - valid loss: 6.54e-01, valid ACC: 4.20, valid Utility_Retention: 0.9877996444702148
epoch: 4, lr: 1.04e-04, steps: 11416, optimizer: Adam - train loss: 6.61e-01 - valid loss: 6.38e-01, valid ACC: 5.80, valid Utility_Retention: 0.9891907572746277
epoch: 5, lr: 1.30e-04, steps: 14270, optimizer: Adam - train loss: 6.60e-01 - valid loss: 6.29e-01, valid ACC: 5.80, valid Utility_Retention: 0.991395115852356
epoch: 6, lr: 1.56e-04, steps: 17124, optimizer: Adam - train loss: 6.59e-01 - valid loss: 6.38e-01, valid ACC: 4.20, valid Utility_Retention: 0.9927392601966858
epoch: 7, lr: 1.82e-04, steps: 19978, optimizer: Adam - train loss: 6.59e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9928800463676453
epoch: 8, lr: 2.08e-04, steps: 22832, optimizer: Adam - train loss: 6.57e-01 - valid loss: 6.31e-01, valid ACC: 5.80, valid Utility_Retention: 0.9928913116455078
epoch: 9, lr: 2.25e-04, steps: 25686, optimizer: Adam - train loss: 6.57e-01 - valid loss: 6.34e-01, valid ACC: 5.80, valid Utility_Retention: 0.9951239824295044
epoch: 10, lr: 2.14e-04, steps: 28540, optimizer: Adam - train loss: 6.56e-01 - valid loss: 6.34e-01, valid ACC: 5.80, valid Utility_Retention: 0.9958203434944153
epoch: 11, lr: 2.04e-04, steps: 31394, optimizer: Adam - train loss: 6.56e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9961095452308655
epoch: 12, lr: 1.95e-04, steps: 34248, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.33e-01, valid ACC: 5.80, valid Utility_Retention: 0.996292233467102
epoch: 13, lr: 1.87e-04, steps: 37102, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9961096048355103
epoch: 14, lr: 1.81e-04, steps: 39956, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.34e-01, valid ACC: 5.80, valid Utility_Retention: 0.9959381818771362
epoch: 15, lr: 1.74e-04, steps: 42810, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.31e-01, valid ACC: 5.80, valid Utility_Retention: 0.9961218237876892
epoch: 16, lr: 1.69e-04, steps: 45664, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.31e-01, valid ACC: 5.80, valid Utility_Retention: 0.9969174265861511
epoch: 17, lr: 1.64e-04, steps: 48518, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9970384240150452
epoch: 18, lr: 1.59e-04, steps: 51372, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9971587657928467
epoch: 19, lr: 1.55e-04, steps: 54226, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.33e-01, valid ACC: 5.80, valid Utility_Retention: 0.9969727993011475
epoch: 20, lr: 1.51e-04, steps: 57080, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.31e-01, valid ACC: 5.80, valid Utility_Retention: 0.9966370463371277
epoch: 21, lr: 1.47e-04, steps: 59934, optimizer: Adam - train loss: 6.55e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9970862865447998
epoch: 22, lr: 1.44e-04, steps: 62788, optimizer: Adam - train loss: 6.54e-01 - valid loss: 6.32e-01, valid ACC: 5.80, valid Utility_Retention: 0.9967932105064392
